ts,step,endpoint,latency_ms,status,ok
1789194513.475,10,health,2.3,200,1
1789194513.507,10,orders,221.5,200,1
1789194513.515,10,orders,230.7,200,1
1789194513.532,10,orders,232.1,200,1
1789194513.545,10,orders,223.7,200,1
1789194513.579,10,orders,221.6,200,1
1789194513.59,10,orders,238.8,200,1
1789194513.596,10,orders,228.3,200,1
1789194513.605,10,orders,237.9,200,1
1789194513.62,10,search,171.4,200,1
1789194513.666,10,login,46.0,200,1
1789194513.669,10,health,2.3,200,1
1789194513.681,10,search,165.0,200,1
1789194513.684,10,search,176.9,200,1
1789194513.71,10,search,178.2,200,1
1789194513.731,10,login,50.5,200,1
1789194513.733,10,search,189.1,200,1
1789194513.737,10,login,53.1,200,1
1789194513.74,10,health,2.3,200,1
1789194513.745,10,search,165.4,200,1
1789194513.751,10,orders,276.7,200,1
1789194513.753,10,search,148.4,200,1
1789194513.758,10,health,26.3,200,1
1789194513.776,10,login,65.2,200,1
1789194513.779,10,health,2.5,200,1
1789194513.785,10,search,194.9,200,1
1789194513.787,10,search,190.3,200,1
1789194513.803,10,login,68.5,200,1
1789194513.807,10,health,3.8,200,1
1789194513.82,10,login,75.5,200,1
1789194513.824,10,health,4.1,200,1
1789194513.825,10,login,71.3,200,1
1789194513.828,10,health,3.4,200,1
1789194513.845,10,login,59.4,200,1
1789194513.847,10,login,59.6,200,1
1789194513.848,10,health,3.5,200,1
1789194513.85,10,health,2.7,200,1
1789194513.915,10,search,163.7,200,1
1789194513.938,10,orders,269.4,200,1
1789194513.976,10,login,60.8,200,1
1789194513.98,10,health,4.0,200,1
1789194513.994,10,orders,237.4,200,1
1789194513.999,10,orders,259.9,200,1
1789194514.018,10,orders,212.3,200,1
1789194514.022,10,orders,244.3,200,1
1789194514.05,10,orders,222.2,200,1
1789194514.057,10,orders,207.3,200,1
1789194514.069,10,orders,221.1,200,1
1789194514.083,10,orders,258.9,200,1
1789194514.102,10,search,164.3,200,1
1789194514.141,10,login,38.8,200,1
1789194514.144,10,health,2.6,200,1
1789194514.154,10,search,158.5,200,1
1789194514.165,10,search,165.1,200,1
1789194514.17,10,search,147.2,200,1
1789194514.18,10,search,161.1,200,1
1789194514.191,10,search,134.3,200,1
1789194514.202,10,search,152.0,200,1
1789194514.209,10,orders,229.1,200,1
1789194514.211,10,search,127.5,200,1
1789194514.218,10,search,148.4,200,1
1789194514.219,10,login,49.3,200,1
1789194514.222,10,health,2.6,200,1
1789194514.23,10,login,64.9,200,1
1789194514.232,10,login,78.4,200,1
1789194514.235,10,health,2.6,200,1
1789194514.247,10,login,67.3,200,1
1789194514.25,10,health,2.4,200,1
1789194514.252,10,login,60.8,200,1
1789194514.254,10,health,2.5,200,1
1789194514.257,10,health,27.6,200,1
1789194514.266,10,login,64.3,200,1
1789194514.268,10,health,2.2,200,1
1789194514.272,10,login,62.4,200,1
1789194514.274,10,health,2.2,200,1
1789194514.28,10,login,62.9,200,1
1789194514.283,10,health,2.7,200,1
1789194514.355,10,orders,211.3,200,1
1789194514.36,10,search,151.0,200,1
1789194514.425,10,login,65.3,200,1
1789194514.428,10,health,2.9,200,1
1789194514.436,10,orders,214.6,200,1
1789194514.45,10,orders,215.9,200,1
1789194514.461,10,orders,211.8,200,1
1789194514.469,10,orders,214.6,200,1
1789194514.476,10,orders,218.7,200,1
1789194514.487,10,orders,212.4,200,1
1789194514.502,10,orders,234.0,200,1
1789194514.514,10,search,159.6,200,1
1789194514.52,10,orders,237.6,200,1
1789194514.563,10,login,48.7,200,1
1789194514.565,10,health,2.3,200,1
1789194514.596,10,search,159.7,200,1
1789194514.602,10,search,152.4,200,1
1789194514.62,10,search,158.1,200,1
1789194514.62,10,search,143.8,200,1
1789194514.632,10,search,162.9,200,1
1789194514.641,10,search,138.1,200,1
1789194514.645,10,search,157.1,200,1
1789194514.646,10,login,49.5,200,1
1789194514.65,10,health,4.1,200,1
1789194514.654,10,search,134.0,200,1
1789194514.667,10,login,64.7,200,1
1789194514.669,10,health,2.3,200,1
1789194514.678,10,orders,249.8,200,1
1789194514.68,10,login,59.3,200,1
1789194514.681,10,login,61.4,200,1
1789194514.682,10,health,2.7,200,1
1789194514.684,10,health,3.0,200,1
1789194514.697,10,login,64.4,200,1
1789194514.699,10,health,2.5,200,1
1789194514.708,10,login,67.3,200,1
1789194514.71,10,health,2.3,200,1
1789194514.714,10,login,69.5,200,1
1789194514.716,10,health,2.4,200,1
1789194514.723,10,login,68.7,200,1
1789194514.738,10,health,14.5,200,1
1789194514.802,10,orders,235.9,200,1
1789194514.828,10,search,149.3,200,1
1789194514.867,10,login,39.2,200,1
1789194514.872,10,orders,221.7,200,1
1789194514.872,10,health,6.2,200,1
1789194514.891,10,orders,207.4,200,1
1789194514.9,10,orders,218.4,200,1
1789194514.915,10,orders,245.3,200,1
1789194514.925,10,orders,226.6,200,1
1789194514.939,10,orders,229.1,200,1
1789194514.964,10,orders,248.2,200,1
1789194514.968,10,search,167.2,200,1
1789194514.98,10,orders,242.1,200,1
1789194515.02,10,login,51.4,200,1
1789194515.035,10,health,15.1,200,1
1789194515.059,10,search,188.1,200,1
1789194515.079,10,search,188.1,200,1
1789194515.082,10,search,181.8,200,1
1789194515.089,10,search,150.2,200,1
1789194515.093,10,search,178.3,200,1
1789194515.102,10,search,176.2,200,1
1789194515.107,10,login,48.0,200,1
1789194515.11,10,health,2.2,200,1
1789194515.115,10,search,150.9,200,1
1789194515.133,10,search,153.3,200,1
1789194515.138,10,login,59.2,200,1
1789194515.141,10,health,2.3,200,1
1789194515.144,10,login,62.0,200,1
1789194515.146,10,health,2.4,200,1
1789194515.149,10,login,59.5,200,1
1789194515.151,10,login,57.7,200,1
1789194515.152,10,health,2.7,200,1
1789194515.154,10,health,3.0,200,1
1789194515.161,10,orders,289.3,200,1
1789194515.166,10,login,64.3,200,1
1789194515.178,10,login,62.6,200,1
1789194515.18,10,health,2.6,200,1
1789194515.193,10,health,26.9,200,1
1789194515.202,10,login,68.7,200,1
1789194515.205,10,health,2.8,200,1
1789194515.282,10,orders,247.6,200,1
1789194515.315,10,search,153.9,200,1
1789194515.363,10,login,47.4,200,1
1789194515.365,10,health,2.4,200,1
1789194515.37,10,orders,260.6,200,1
1789194515.386,10,orders,232.3,200,1
1789194515.395,10,orders,242.8,200,1
1789194515.409,10,orders,267.8,200,1
1789194515.415,10,orders,268.1,200,1
1789194515.427,10,orders,246.8,200,1
1789194515.444,10,orders,251.0,200,1
1789194515.449,10,orders,243.9,200,1
1789194515.46,10,search,176.6,200,1
1789194515.503,10,login,43.3,200,1
1789194515.506,10,health,2.4,200,1
1789194515.545,10,search,173.4,200,1
1789194515.563,10,search,175.5,200,1
1789194515.565,10,search,170.3,200,1
1789194515.58,10,search,151.6,200,1
1789194515.592,10,search,183.2,200,1
1789194515.597,10,search,181.5,200,1
1789194515.604,10,search,159.3,200,1
1789194515.61,10,search,160.9,200,1
1789194515.622,10,login,77.5,200,1
1789194515.643,10,health,20.6,200,1
1789194515.661,10,login,98.1,200,1
1789194515.664,10,health,3.5,200,1
1789194515.667,10,login,102.0,200,1
1789194515.673,10,login,93.3,200,1
1789194515.675,10,health,2.4,200,1
1789194515.679,10,login,82.6,200,1
1789194515.681,10,health,2.1,200,1
1789194515.686,10,login,82.1,200,1
1789194515.687,10,login,77.7,200,1
1789194515.689,10,health,3.0,200,1
1789194515.689,10,health,22.2,200,1
1789194515.691,10,health,4.0,200,1
1789194515.695,10,login,103.2,200,1
1789194515.7,10,orders,334.9,200,1
1789194515.702,10,health,6.8,200,1
1789194515.763,10,orders,257.5,200,1
1789194515.828,10,search,126.8,200,1
1789194515.884,10,login,56.7,200,1
1789194515.889,10,orders,246.2,200,1
1789194515.892,10,health,7.7,200,1
1789194515.904,10,orders,223.5,200,1
1789194515.917,10,orders,241.4,200,1
1789194515.923,10,orders,220.4,200,1
1789194515.932,10,orders,242.5,200,1
1789194515.936,10,orders,272.0,200,1
1789194515.942,10,search,179.3,200,1
1789194515.946,10,orders,257.3,200,1
1789194515.973,10,orders,280.8,200,1
1789194515.999,10,login,56.7,200,1
1789194516.002,10,health,2.5,200,1
1789194516.057,10,search,168.1,200,1
1789194516.072,10,search,167.5,200,1
1789194516.078,10,search,141.7,200,1
1789194516.081,10,search,164.3,200,1
1789194516.09,10,search,157.5,200,1
1789194516.092,10,search,168.8,200,1
1789194516.099,10,search,153.0,200,1
1789194516.108,10,login,50.6,200,1
1789194516.11,10,search,137.8,200,1
1789194516.128,10,health,20.2,200,1
1789194516.129,10,login,48.1,200,1
1789194516.132,10,health,3.0,200,1
1789194516.142,10,login,51.7,200,1
1789194516.142,10,orders,250.3,200,1
1789194516.145,10,login,67.2,200,1
1789194516.146,10,login,54.5,200,1
1789194516.147,10,health,5.6,200,1
1789194516.15,10,login,77.4,200,1
